,weight
554,663.0
555,663.0
556,663.0
557,663.0
558,663.0
559,663.0
560,663.0
561,663.0
562,663.0
563,663.0
564,663.0
565,663.0
566,1245.0
567,1245.0
568,1245.0
569,1245.0
570,1245.0
571,1245.0
572,1245.0
573,1245.0
574,998.0
575,998.0
576,1852.0
577,1852.0
578,1852.0
579,1852.0
580,1852.0
581,1852.0
582,1852.0
583,1852.0
584,1852.0
585,1852.0
586,1852.0
587,1852.0
588,1852.0
589,3202.0
590,3202.0
591,3202.0
592,3202.0
593,3202.0
594,3202.0
595,3202.0
596,3202.0
597,3202.0
598,579.0
599,579.0
600,579.0
601,579.0
602,579.0
603,579.0
604,579.0
605,579.0
606,579.0
607,579.0
608,579.0
609,579.0
610,741.0
611,741.0
612,741.0
613,741.0
614,741.0
615,741.0
616,741.0
617,741.0
618,741.0
619,741.0
620,741.0
621,1105.0
622,1105.0
623,1105.0
624,1105.0
625,1105.0
626,1105.0
627,1105.0
628,1105.0
629,1105.0
630,1105.0
631,1105.0
632,1105.0
633,1179.0
634,1179.0
635,1179.0
636,1179.0
637,1179.0
638,1179.0
639,1179.0
640,1179.0
641,1179.0
642,1179.0
643,1179.0
644,1215.0
645,1215.0
646,1215.0
647,1215.0
648,1215.0
649,1215.0
650,1215.0
651,1215.0
652,1215.0
653,1215.0
654,1215.0
655,1215.0
656,709.0
657,709.0
658,709.0
659,709.0
660,637.0
661,637.0
662,637.0
663,637.0
664,637.0
665,1277.0
666,1277.0
667,995.0
668,995.0
669,995.0
670,971.0
671,971.0
672,971.0
673,971.0
674,4550.0
675,1185.0
676,1185.0
677,1185.0
678,1185.0
679,1185.0
680,1185.0
681,1185.0
682,1185.0
683,1185.0
684,1185.0
685,1185.0
686,4188.0
687,4188.0
688,4188.0
689,2428.0
690,2428.0
691,1640.0
692,1640.0
693,1640.0
694,1640.0
695,2967.0
696,2967.0
697,2635.0
698,2635.0
699,2635.0
700,2635.0
701,1559.0
702,1559.0
703,1559.0
704,1559.0
705,1559.0
706,1559.0
707,1559.0
708,1559.0
709,1172.0
710,1172.0
711,1172.0
712,1547.0
713,1547.0
714,1547.0
715,948.0
716,948.0
717,948.0
718,2862.0
719,2862.0
720,2862.0
721,841.0
722,841.0
723,841.0
724,841.0
725,841.0
726,841.0
727,841.0
728,841.0
729,841.0
730,841.0
731,841.0
732,841.0
733,1615.0
734,1615.0
735,776.0
736,776.0
737,776.0
738,776.0
739,776.0
740,776.0
741,776.0
742,776.0
743,776.0
744,776.0
745,776.0
746,776.0
747,776.0
748,776.0
749,776.0
750,776.0
751,776.0
752,776.0
753,776.0
754,776.0
755,776.0
756,776.0
757,776.0
758,776.0
759,776.0
760,776.0
761,954.0
762,954.0
763,954.0
764,954.0
765,954.0
766,954.0
767,954.0
768,954.0
769,954.0
770,954.0
771,954.0
772,954.0
773,954.0
774,954.0
775,954.0
776,954.0
777,1411.0
778,1411.0
779,1411.0
780,1411.0
781,1411.0
782,1411.0
783,1411.0
784,8060.0
785,550.0
786,550.0
787,550.0
788,550.0
789,550.0
790,550.0
791,550.0
792,550.0
793,550.0
794,550.0
795,550.0
796,550.0
797,607.0
798,607.0
799,607.0
800,607.0
801,607.0
802,639.0
803,639.0
804,639.0
805,639.0
806,639.0
807,639.0
808,639.0
809,639.0
810,639.0
811,639.0
812,639.0
813,639.0
814,639.0
815,639.0
816,639.0
817,639.0
818,639.0
819,639.0
820,639.0
821,639.0
822,639.0
823,639.0
824,639.0
825,639.0
826,639.0
827,639.0
828,589.0
829,589.0
830,589.0
831,589.0
832,589.0
833,589.0
834,589.0
835,589.0
836,589.0
837,589.0
838,589.0
839,589.0
840,589.0
841,589.0
842,589.0
843,589.0
844,589.0
845,589.0
846,977.0
847,977.0
848,977.0
849,977.0
850,977.0
851,977.0
852,977.0
853,2395.0
854,2395.0
855,2395.0
856,2395.0
857,2395.0
858,958.0
859,958.0
860,958.0
861,958.0
862,958.0
863,958.0
864,958.0
865,958.0
866,958.0
867,958.0
868,958.0
869,958.0
870,958.0
871,808.0
872,808.0
873,808.0
874,808.0
875,808.0
876,808.0
877,808.0
878,561.0
879,561.0
880,561.0
881,561.0
882,561.0
883,561.0
884,561.0
885,561.0
886,561.0
887,561.0
888,561.0
889,561.0
890,561.0
891,561.0
892,561.0
893,561.0
894,561.0
895,561.0
896,561.0
897,561.0
898,561.0
899,561.0
900,561.0
901,561.0
902,561.0
903,561.0
904,561.0
905,561.0
906,561.0
907,561.0
908,561.0
909,561.0
910,561.0
911,561.0
912,561.0
913,561.0
914,561.0
915,561.0
916,561.0
917,802.0
918,802.0
919,802.0
920,802.0
921,802.0
922,802.0
923,802.0
924,802.0
925,802.0
926,802.0
927,802.0
928,802.0
929,802.0
930,802.0
931,802.0
932,802.0
933,802.0
934,802.0
935,802.0
936,808.0
937,808.0
938,808.0
939,808.0
940,808.0
941,808.0
942,808.0
943,808.0
944,808.0
945,808.0
946,808.0
947,6603.0
948,6603.0
949,837.0
950,837.0
951,837.0
952,837.0
953,837.0
954,837.0
955,837.0
956,837.0
